0,0,170.214,134.544
0,1,114.454,113.839
0,2,106.054,81.3705
0,3,115.364,65.7527
0,4,191.151,190.062
0,5,75.8052,48.7881
1,0,120.968,146.64
1,1,122.34,112.276
1,2,96.5591,92.0716
1,3,92.5716,84.8543
1,4,180.328,156.416
1,5,58.5636,40.708
2,0,137.516,78.2167
2,1,60.1337,91.2659
2,2,92.732,64.3555
2,3,66.7305,63.7215
2,4,149.184,101.309
2,5,43.4848,39.4626
3,0,139.308,141.898
3,1,113.306,87.9856
3,2,96.7333,73.3389
3,3,67.4152,66.1414
3,4,159.201,137.508
3,5,62.2667,31.1644
4,0,110.909,67.1792
4,1,87.1054,50.4627
4,2,80.1122,83.302
4,3,60.5401,56.5974
4,4,145.562,137.806
4,5,48.2,44.5071
5,0,121.531,104.414
5,1,81.1812,89.8055
5,2,55.2131,77.2
5,3,53.8167,61.3905
5,4,135.036,141.623
5,5,43.2259,45.3805
6,0,101.128,119.499
6,1,51.5192,82.1922
6,2,75.8238,67.1924
6,3,44.6641,35.8823
6,4,163.096,137.814
6,5,33.7186,50.5658
7,0,79.0461,105.063
7,1,33.6973,82.296
7,2,46.8603,57.6875
7,3,41.1348,50.1983
7,4,105.583,100.961
7,5,23.312,45.6016
8,0,72.571,167.881
8,1,62.4726,138.561
8,2,42.1751,119.762
8,3,41.3808,58.5743
8,4,101.344,163.045
8,5,28.2993,60.2879
